,lat,lon,alt,type,id
0,49.25872963888889,-123.24251213888888,64.858,drone,
1,49.25873130555556,-123.24252083333333,64.758,drone,
2,49.258731,-123.24252522222223,64.758,drone,
3,49.25873130555556,-123.24253341666667,64.758,drone,
4,49.258732555555554,-123.24254519444445,64.758,drone,
5,49.25873547222222,-123.24256519444445,64.758,drone,
6,49.25873663888889,-123.2425746388889,64.958,drone,
7,49.258738666666666,-123.24258480555555,64.958,drone,
8,49.25873933333333,-123.24259472222222,64.658,drone,
9,49.25874075,-123.24259908333333,64.758,drone,
10,49.258742444444444,-123.24260977777777,64.858,drone,
11,49.258744194444446,-123.24262027777777,64.958,drone,
12,49.25874508333333,-123.24262894444445,64.758,drone,
13,49.25874722222222,-123.2426423888889,64.958,drone,
14,49.25875105555556,-123.24266347222222,64.958,drone,
15,49.258752,-123.24267875,64.858,drone,
16,49.25875447222222,-123.24269616666666,64.758,drone,
17,49.25875825,-123.24271172222223,64.858,drone,
18,49.25875958333334,-123.24271833333333,64.658,drone,
19,49.25876130555555,-123.24273191666667,64.558,drone,
20,49.25876325,-123.24274380555556,64.958,drone,
21,49.25857596877901,-123.24259260985106,,prediction,0.0
22,49.25860479867191,-123.24257372568641,,prediction,1.0
23,49.25860255033016,-123.24257519839587,,prediction,2.0
24,49.258602057850744,-123.24257894803546,,prediction,3.0
25,49.25861969993882,-123.24256544724726,,prediction,4.0
26,49.25862210522431,-123.24256360657796,,prediction,5.0
27,49.25863314509308,-123.24255515820556,,prediction,6.0
28,49.25864036575949,-123.24255888769791,,prediction,7.0
29,49.25865033127046,-123.24254842992809,,prediction,8.0
30,49.25865373740279,-123.2425448555456,,prediction,9.0
31,49.25866181527998,-123.2425363786516,,prediction,10.0
32,49.25867293882376,-123.24252470564649,,prediction,11.0
33,49.258655649382895,-123.24255088426847,,prediction,12.0
34,49.25866343689265,-123.24254114906422,,prediction,13.0
35,49.258666545289316,-123.24253726324224,,prediction,14.0
36,49.2586732381906,-123.24252889641342,,prediction,15.0
37,49.258682354224,-123.24251750041523,,prediction,16.0
38,49.258695683266545,-123.24250083771356,,prediction,17.0
39,49.25867363761548,-123.24254146454211,,prediction,18.0
40,49.25867954418056,-123.24253220061684,,prediction,19.0
41,49.25868225310441,-123.2425279519092,,prediction,20.0
42,49.25868768390608,-123.24251943417676,,prediction,21.0
43,49.258695169861085,-123.24250769311797,,prediction,22.0
44,49.258707340288055,-123.24248860487893,,prediction,23.0
45,49.258714690637035,-123.24247707650619,,prediction,24.0
46,49.25869491177935,-123.24253032410343,,prediction,25.0
47,49.258698800486634,-123.24252150272389,,prediction,26.0
48,49.2587008055442,-123.24251695432966,,prediction,27.0
49,49.258704595638996,-123.24250835664866,,prediction,28.0
50,49.25870983559454,-123.24249647001557,,prediction,29.0
51,49.258718435387685,-123.24247696172301,,prediction,30.0
52,49.25872291962416,-123.24246678940891,,prediction,31.0
53,49.258726661278665,-123.2424583016128,,prediction,32.0
54,49.25870552835642,-123.24252476462168,,prediction,33.0
55,49.25870860996319,-123.24251605304265,,prediction,34.0
56,49.258710277263646,-123.24251133965097,,prediction,35.0
57,49.25871336417334,-123.2425026130808,,prediction,36.0
58,49.258717653520584,-123.24249048726777,,prediction,37.0
59,49.258724800975315,-123.24247028169923,,prediction,38.0
60,49.258728507198406,-123.24245980435485,,prediction,39.0
61,49.2587320016243,-123.24244992575267,,prediction,40.0
62,49.25873869546233,-123.24243100254043,,prediction,41.0
63,49.258727234353564,-123.24251339804898,,prediction,42.0
64,49.25872852784242,-123.24250498761094,,prediction,43.0
65,49.258729283695565,-123.24250007295241,,prediction,44.0
66,49.25873063264853,-123.24249130187927,,prediction,45.0
67,49.25873250597222,-123.24247912127737,,prediction,46.0
68,49.25873560994921,-123.24245893880259,,prediction,47.0
69,49.25873713576545,-123.24244901774074,,prediction,48.0
70,49.25873858384743,-123.24243960211744,,prediction,49.0
71,49.25874055527558,-123.2424267836272,,prediction,50.0
72,49.25874083790285,-123.2424249459468,,prediction,51.0
73,49.25874769768328,-123.2425026822121,,prediction,52.0
74,49.2587474071826,-123.24249449914242,,prediction,53.0
75,49.25874722744685,-123.24248943619335,,prediction,54.0
76,49.258746915058396,-123.24248063657053,,prediction,55.0
77,49.25874648159097,-123.24246842629229,,prediction,56.0
78,49.25874576641625,-123.24244828064418,,prediction,57.0
79,49.25874542472759,-123.2424386556684,,prediction,58.0
80,49.25874509575085,-123.24242938877248,,prediction,59.0
81,49.258744671763466,-123.2424174455363,,prediction,60.0
82,49.25874456407922,-123.24241441219527,,prediction,61.0
83,49.25874416909915,-123.24240328606159,,prediction,62.0
84,49.25876713744235,-123.24249250237871,,prediction,63.0
85,49.25876533063964,-123.24248454171736,,prediction,64.0
86,49.25876416298168,-123.24247939708835,,prediction,65.0
87,49.25876217556029,-123.24247064063223,,prediction,66.0
88,49.25875942488071,-123.24245852130754,,prediction,67.0
89,49.25875492033488,-123.24243867455633,,prediction,68.0
90,49.25875281826586,-123.24242941296981,,prediction,69.0
91,49.25875078686836,-123.24242046275765,,prediction,70.0
92,49.25874825643884,-123.24240931384118,,prediction,71.0
93,49.258747518173415,-123.2424060610892,,prediction,72.0
94,49.25874526744051,-123.24239614449876,,prediction,73.0
95,49.25874366491902,-123.24238908388783,,prediction,74.0
96,49.25879819085676,-123.24247624093307,,prediction,75.0
97,49.25879405462506,-123.24246858402954,,prediction,76.0
98,49.2587912287984,-123.24246335291973,,prediction,77.0
99,49.258786543317164,-123.24245467925721,,prediction,78.0
