1,"(27.20463, 17.49771)","(206, 199, 30)",-95.52754015165618
2,"(27.204635, 17.49771)","(208, 202, 30)",-96.40435272638415
3,"(27.204635, 17.49771)","(27, 82, 208)",-103.5479389880005
4,"(27.20464, 17.49771)","(209, 197, 30)",-97.60983715755195
5,"(27.20464, 17.49771)","(41, 94, 220)",-105.67952412241925
6,"(27.20464, 17.49771)","(159, 25, 172)",-85.87240829748826
7,"(27.204645, 17.49771)","(207, 195, 28)",-99.36938509648749
8,"(27.204645, 17.49771)","(27, 80, 206)",-108.57927038044467
9,"(27.204645, 17.49771)","(165, 30, 175)",-85.29490302273376
10,"(27.20465, 17.49771)","(207, 195, 27)",-102.2491234197558
11,"(27.20465, 17.49771)","(29, 84, 208)",-112.7262834354615
12,"(27.20465, 17.49771)","(174, 24, 204)",-83.8844964337146
13,"(27.204655, 17.49771)","(209, 194, 28)",-107.4471884232822
14,"(27.204655, 17.49771)","(33, 84, 208)",-119.05460409907714
15,"(27.204655, 17.49771)","(166, 39, 178)",-81.9775963526725
16,"(27.204655, 17.49771)","(23, 78, 204)",-117.79868617991148
17,"(27.204655, 17.49771)","(203, 197, 25)",-82.323018265468
18,"(27.204655, 17.49771)","(214, 40, 219)",-102.71363216327302
19,"(27.20466, 17.49771)","(204, 196, 23)",-119.63838368815136
20,"(27.20466, 17.49771)","(34, 87, 211)",-129.8055710922652
21,"(27.20466, 17.49771)","(170, 35, 190)",-78.79920221211557
22,"(27.20466, 17.49771)","(23, 78, 204)",-122.27564431457763
23,"(27.20466, 17.49771)","(197, 193, 21)",-81.01655673816526
24,"(27.20466, 17.49771)","(212, 41, 217)",-104.56275627829429
25,"(27.20466, 17.49771)","(209, 199, 31)",-84.63897003532837
26,"(27.204665, 17.49771)","(208, 201, 33)",-163.14160123226173
27,"(27.204665, 17.49771)","(34, 82, 207)",-148.51253063578602
28,"(27.204665, 17.49771)","(170, 29, 169)",-68.74949449286676
29,"(27.204665, 17.49771)","(28, 76, 201)",-127.77568430595468
30,"(27.204665, 17.49771)","(207, 203, 31)",-79.13344819866742
31,"(27.204665, 17.49771)","(224, 51, 227)",-107.54900222906778
32,"(27.204665, 17.49771)","(208, 200, 35)",-83.78817797099086
33,"(27.204665, 17.49771)","(255, 255, 255)",-73.23115874039652
34,"(27.20467, 17.49771)","(210, 200, 33)",131.72951207681643
35,"(27.20467, 17.49771)","(32, 83, 207)",-178.56790381583536
36,"(27.20467, 17.49771)","(157, 22, 172)",-18.43494882292201
37,"(27.20467, 17.49771)","(36, 75, 203)",-135.3720452872033
38,"(27.20467, 17.49771)","(207, 204, 30)",-76.34521414171567
39,"(27.20467, 17.49771)","(226, 52, 231)",-111.58979168771398
40,"(27.20467, 17.49771)","(236, 227, 56)",-82.58850714082115
41,"(27.20467, 17.49771)","(31, 32, 210)",-70.36041091793035
42,"(27.20467, 17.49771)","(213, 201, 33)",-108.21500449249783
43,"(27.20467, 17.49771)","(210, 39, 214)",-94.93921554212619
44,"(27.204675, 17.49771)","(210, 200, 33)",111.21796957677864
45,"(27.204675, 17.49771)","(37, 90, 216)",150.64224645720873
46,"(27.204675, 17.49771)","(0, 0, 255)",62.87869659584134
47,"(27.204675, 17.49771)","(27, 78, 204)",-145.88552705465875
48,"(27.204675, 17.49771)","(207, 204, 30)",-71.69737375825181
49,"(27.204675, 17.49771)","(245, 71, 250)",-118.02968098228335
50,"(27.204675, 17.49771)","(209, 202, 34)",-80.86481164058985
51,"(27.204675, 17.49771)","(255, 255, 255)",-66.37062226934319
52,"(27.204675, 17.49771)","(218, 210, 37)",-111.16730240059759
53,"(27.204675, 17.49771)","(233, 62, 237)",-95.79279649503216
54,"(27.204675, 17.49771)","(255, 255, 255)",-103.17986808938099
55,"(27.204675, 17.49771)","(246, 76, 72)",-117.28571479959565
56,"(27.204675, 17.49771)","(210, 199, 28)",-56.70643672915333
57,"(27.20468, 17.49771)","(226, 226, 56)",104.0362434679265
58,"(27.20468, 17.49771)","(44, 92, 217)",131.0090869015702
59,"(27.20468, 17.49771)","(160, 17, 191)",77.19573393471325
60,"(27.20468, 17.49771)","(211, 202, 31)",-61.78264414527071
61,"(27.20468, 17.49771)","(28, 82, 198)",-159.48447512692354
62,"(27.20468, 17.49771)","(233, 61, 240)",-128.50922836552434
63,"(27.20468, 17.49771)","(212, 202, 35)",-78.03487116225116
64,"(27.20468, 17.49771)","(255, 255, 255)",-60.37094559280718
65,"(27.20468, 17.49771)","(221, 211, 43)",-115.188522858453
66,"(27.20468, 17.49771)","(212, 39, 215)",-96.72435309310964
67,"(27.20468, 17.49771)","(255, 255, 255)",-105.38120163584628
68,"(27.20468, 17.49771)","(247, 75, 71)",-121.21368201132807
69,"(27.20468, 17.49771)","(255, 255, 255)",-52.40247558202432
70,"(27.20468, 17.49771)","(207, 200, 31)",-67.90086685633727
71,"(27.20468, 17.49771)","(190, 26, 201)",-98.22880299642554
72,"(27.20468, 17.49771)","(205, 34, 28)",-112.55947734443835
73,"(27.20468, 17.49771)","(43, 43, 218)",-124.19709658689457
74,"(27.204685, 17.49771)","(201, 196, 22)",100.44562205652511
75,"(27.204685, 17.49771)","(74, 125, 249)",119.74488129694224
76,"(27.204685, 17.49771)","(162, 19, 186)",81.63411387596742
77,"(27.204685, 17.49771)","(30, 81, 198)",-175.94065363520076
78,"(27.204685, 17.49771)","(217, 207, 34)",-39.143986414571046
79,"(27.204685, 17.49771)","(255, 92, 255)",-148.69587650440903
80,"(27.204685, 17.49771)","(255, 255, 255)",-72.89727103094764
81,"(27.204685, 17.49771)","(255, 255, 255)",-51.155168343274006
82,"(27.204685, 17.49771)","(233, 221, 53)",-121.06220279174576
83,"(27.204685, 17.49771)","(204, 31, 207)",-98.48432213497041
84,"(27.204685, 17.49771)","(255, 255, 255)",-108.51269067414549
85,"(27.204685, 17.49771)","(229, 59, 50)",-126.2873898199924
86,"(27.204685, 17.49771)","(255, 255, 255)",-47.36009553466294
87,"(27.204685, 17.49771)","(209, 199, 31)",-64.262599141282
